id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1254319434518466561,Sun Apr 26 08:00:31 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Over 52K Americans are already dead from your mismanagement of the coronavirus pandemic. The American people are aware that you tried to cover up the outbreak in Seattle for the purpose of keeping the Dow Jones Industrial Average high in order to boost your re-election prospects.,Over 52K Americans already dead mismanagement coronavirus pandemic The American people aware tried cover outbreak Seattle purpose keeping Dow Jones Industrial Average high order boost re-election prospects,"Sentiment(polarity=0.012, subjectivity=0.31799999999999995)",0.012,0.31799999999999995,en,0,0,KevinKThompson,,,,"St. Louis, Missouri",
1254314373721608195,Sun Apr 26 07:40:25 +0000 2020,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","An Oral History of the Day Everything Changed https://t.co/OBnmykfO3B “The Dow Jones Industrial Average fell 1,465 points and officially entered bear territory; Capitol Hill faced its first confirmed Covid-19 case; the NCAA announced it would play its basketball tournament with…","An Oral History Day Everything Changed https //t.co/OBnmykfO3B “ The Dow Jones Industrial Average fell 1,465 points officially entered bear territory Capitol Hill faced first confirmed Covid-19 case NCAA announced would play basketball tournament with…","Sentiment(polarity=0.16666666666666666, subjectivity=0.5777777777777778)",0.16666666666666666,0.5777777777777778,en,0,0,katslefty,True,,,,
1254294928097710080,Sun Apr 26 06:23:09 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","On Tue, this week, Ben Brown published a newsletter titled, This is the end of Dow Jones Industrial Average, which many have missed. He wrote that on Monday the Dow dropped 1% whereas the Nasdaq 100 soared 1.4%. This level of divergence hasn't happened in Nasdaq's entire history. https://t.co/6SOoZMt13J",On Tue week Ben Brown published newsletter titled This end Dow Jones Industrial Average many missed He wrote Monday Dow dropped 1 whereas Nasdaq 100 soared 1.4 This level divergence n't happened Nasdaq 's entire history https //t.co/6SOoZMt13J,"Sentiment(polarity=0.11666666666666665, subjectivity=0.5083333333333333)",0.11666666666666665,0.5083333333333333,en,6,1,kushkatakia,False,,,India,
1254155884479098880,Sat Apr 25 21:10:38 +0000 2020,"<a href=""http://www.google.com"" rel=""nofollow"">StockTrackerBot</a>",The SPDR Dow Jones Industrial Average ETF (DIA) data is not available because the market is closed today.,The SPDR Dow Jones Industrial Average ETF DIA data available market closed today,"Sentiment(polarity=0.049999999999999996, subjectivity=0.3)",0.049999999999999996,0.3,en,0,0,MarketsTracker,,,,,
1254135087127572483,Sat Apr 25 19:48:00 +0000 2020,"<a href=""https://www.advisorepisodes.com"" rel=""nofollow"">Your Advisor</a>","This day in 2007 The Dow Jones industrial average topped 13,000 for the first time, ending the day at 13,089.89.","This day 2007 The Dow Jones industrial average topped 13,000 first time ending day 13,089.89","Sentiment(polarity=0.05, subjectivity=0.36666666666666664)",0.05,0.36666666666666664,en,0,0,advisorepisodes,,,,At Home,
1254117606472073217,Sat Apr 25 18:38:32 +0000 2020,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",Stocks Finish Higher but Close Week With Losses https://t.co/KzquM5Q53F,Stocks Finish Higher Close Week With Losses https //t.co/KzquM5Q53F,"Sentiment(polarity=0.25, subjectivity=0.5)",0.25,0.5,en,0,0,WaIlstreetWire,False,,,,
1254100403328888835,Sat Apr 25 17:30:10 +0000 2020,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","This day in 2007 The Dow Jones industrial average topped 13,000 for the first time, ending the day at 13,089.89.","This day 2007 The Dow Jones industrial average topped 13,000 first time ending day 13,089.89","Sentiment(polarity=0.05, subjectivity=0.36666666666666664)",0.05,0.36666666666666664,en,0,0,tcmwealth,,,,"Fairlawn, OH",
1254054968237178880,Sat Apr 25 14:29:38 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Today in 2007 the Dow Jones industrial average topped 13,000 for the first time, ending the day at 13,089.89","Today 2007 Dow Jones industrial average topped 13,000 first time ending day 13,089.89","Sentiment(polarity=0.05, subjectivity=0.36666666666666664)",0.05,0.36666666666666664,en,1,2,thepainterflynn,,,,Ireland,
1254043231958061058,Sat Apr 25 13:43:00 +0000 2020,"<a href=""https://www.advisorepisodes.com"" rel=""nofollow"">Your Advisor</a>","This day in 2007 The Dow Jones industrial average topped 13,000 for the first time, ending the day at 13,089.89.","This day 2007 The Dow Jones industrial average topped 13,000 first time ending day 13,089.89","Sentiment(polarity=0.05, subjectivity=0.36666666666666664)",0.05,0.36666666666666664,en,0,0,melissalgeorge,,,,"Atlanta, GA and beyond",
1253953673929068544,Sat Apr 25 07:47:07 +0000 2020,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",U.S. #stocks higher at close of trade; Dow Jones Industrial Average up 1.11% - https://t.co/VAqK2kzfFd,U.S. stocks higher close trade Dow Jones Industrial Average 1.11 https //t.co/VAqK2kzfFd,"Sentiment(polarity=0.05, subjectivity=0.44999999999999996)",0.05,0.44999999999999996,en,0,0,iNewsroom,False,stocks,,Worldwide,
1253946206956523520,Sat Apr 25 07:17:27 +0000 2020,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",#NavyCapital #barronsonline: Stocks made steady gains through Friday and closed with gains. President Donald Trump signed the latest coronavirus stimulus bill into law. https://t.co/D9oTl1lHSv,NavyCapital barronsonline Stocks made steady gains Friday closed gains President Donald Trump signed latest coronavirus stimulus bill law https //t.co/D9oTl1lHSv,"Sentiment(polarity=0.18888888888888888, subjectivity=0.5)",0.18888888888888888,0.5,en,0,0,navycapital,False,"NavyCapital, barronsonline",,,
1253890917951397888,Sat Apr 25 03:37:45 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","""U.S. shares higher at close of trade; Dow Jones Industrial Average up 1.11%""

https://t.co/sLyBiFItJZ",`` U.S. shares higher close trade Dow Jones Industrial Average 1.11 '' https //t.co/sLyBiFItJZ,"Sentiment(polarity=0.05, subjectivity=0.44999999999999996)",0.05,0.44999999999999996,en,0,0,maxx_empire,False,,,,
