,TIME,CONTENT
0,2020-05-19 14:30:12,"台積電周二爆量多、空大鬥法，股價卻僅在291.5元至294元狹幅震盪，顯示市場人氣、法人著墨多愈趨深入，但該股開盤係294元，收盤在291.5元今最低價，顯然空方（外資為主）摜壓實力仍在。不過，台積電仍紅盤收市，加上被動元件、矽晶圓與IC設計等電子族群多稍回神，而台塑四寶、國泰金、富邦金等傳產金融權值股也力挺多方，使大盤終場大漲逾百點，連續收復5日線、10日線與10800點。

唯極短線仍有表現不振的集團股，包括股王大立光、聯電、日月光投控與南亞科，顯示市場對科技股第二季展望，仍保守看待。集中交易市場加權股價指數收盤係上漲119.89點，報10860.44點，漲幅1.12%點，成交1852.94億元。

店頭市場方面，在生技與電子雙主流掌舵下，包括航運、電機、化學、紡纖與營建等族群悉數收紅，盤勢高之後不回頭，指數大漲1.18%，報142.64點，成交470.5億元。

亞股方面，受惠開發新冠疫苗傳來喜訊，也都跟著美股大漲而勁彈，包括澳洲、日本、南韓、大陸、香港、新加坡、越南、泰國、馬來西亞、菲律賓、印尼及印度等市場，都紅光滿面。

美股盤後電子盤方面，目前道瓊期、標普500與那斯達克100等3大期指，係整理趨堅格局，分別暫報小漲0.13%、0.04%及0.14%。僅小型股2000期指暫報下挫0.3%。

業內人士指出，新台幣兌美元匯價迄午盤小幅升值4.3分，顯示有關單位力阻強升的企圖心，加上美國總統川普突轉向，支持強勢美元，使新台幣匯率短中期有機會持穩在29.9元上下0.3元區間游走，對台商接單與外銷競爭力，屬正向。

技術面方面，台股上檔半年線、年線與萬一等關卡，短期不易一口氣過關，但月線、季線在低檔已愈趨發揮相對強韌支撐，加上資金面、高股息殖利率概念與國際油價止回穩等利基對短多有利，使盤勢短期穩步趨堅仍審慎樂觀。


(工商 )"
1,2020-06-03 14:13:51,"在全球短期利率多創歷史新低，與新冠疫情趨緩，各主要工業國重啟經濟活動愈趨審慎樂觀下，使國際熱錢加計台商回流的大錢潮，持續向台灣股匯兩市簇擁，刺激周三股匯雙飆。

除新台幣兌美元匯價在早盤一度大升1.38角，迄午盤也勁揚0.95分外，台股更開高走高，終場大漲192.23點，報11320.16點，改寫本波自低檔8523點反彈以來收盤新高，單日漲幅1.73%，成交2112.98億元，呈現量價俱揚榮面。

今重量級權值股幾全面上漲，除仁寶僅平盤收市外，餘台積電、股王大立光、國泰金、中鋼、第一金、台塑四寶、富邦金、長榮海航、廣達、日月光投控、聯電、兆豐金、台泥、中信金、統一、遠東新、南亞科、亞泥、和碩、聯發科、中鋼、台達電、中華電及台灣大，都紅光滿面，力挺多方。

店頭市場方面，在生醫族群重返主流，執掌攻堅帥印，且電子股擔當輔攻角色下，使盤面上電機、化學、營建、航運、觀光、鋼鐵與紡纖等類股的短多，也都見賢思齊，勇猛向前衝，指數開高登高，收漲1.33%，報151.03點，創今年元月初以來收盤新高，成交540億元。

美股盤後電子盤方面，包括道瓊期、標普500、那斯達克100與小型股2000等4大期指，仍延續近期震盪趨堅榮景，目前都臉色紅潤，分別暫報上漲0.52%、0.38%、0.33%及0.89%。亞股方面，目前也是全面走揚榮景，包括澳洲、南韓、香港、新加坡、菲律賓、泰國與印度等股市，多是大漲格局。

業內人士指出，台股自3月19日低檔8523點反彈以來，短期已大幅反彈2797點，而且還伺機向前波高點雙峰12186點與12197點挑戰，顯示短多氣勢如虹。

不過，樂觀氛圍中，仍有一些警訊不宜漠視；其一，依歷史經驗觀察，每波反彈的末升段，多會輪到太陽能、面板等夕陽產業股上漲，甚至是一向牛皮的金融類股也動起來。其二係季線與現貨指數的乖離持續擴大，應注意高檔是否有牛背離現象。

業內人士表示，現階段對台股最有利的後盾，仍是國安基金等公營法人默默逢低護持大盤，也使盤勢的短中期底部區，愈趨向上墊高，雖短線有上述警訊不宜經忽，但類股輪動與個依題材領先盤勢發展架構，仍相對樂觀。
(工商 )"
2,2020-05-13 04:10:00,"外資12日再翻臉賣超台股集中市場253.66億元，累計5月來賣超擴大至831億元，今年來已賣超更達5,941億元，再創歷年最大賣超，6,000億元大關近在咫尺；今年過不到四個半月，外資賣超台積電（2330）64.2萬張、金額達1,953億元，占了外資總賣超的1／3強。

台股才又剛站上年線、「萬一」大關，又因為中國大陸、韓國等亞洲國家疫情再度緊繃，歐美封城情況也不如預期，引發全球股市拉回，台股12日遭到外資大舉調節，年線、萬一、10,900點關卡一次跌破。

外資提列前十大股分別為台積電1,953億，國巨、鴻海都在200億元以上，台塑、中信金、兆豐金、統一、台灣大均逾百億，玉山金、台化也賣超近百億元，清一色集中在電金傳等大型權值股。

外資今年來對台股調節趨勢至今尚未見明顯轉變，大賣持股不奇怪，但逆勢加碼買超股則受關注，據統計，外資今年來買超前十大股分別為智邦、聯發科都各在百億元以上，緯穎、上銀、矽力-KY、晶電、致茂、世芯-KY、祥碩、亞德客-KY等，都各在20～70億元間。"
3,2020-06-02 04:10:00,"傳統產業出頭天，證交所1日公布，108年由上緯投控以516萬元，奪下平均員工薪資（不含福利費用）冠軍，也是上市櫃公司唯一一家登上500萬元級的超級幸福員工，接下來，三商、華固及永豐餘等三家公司都在300萬元以上，前四名全由傳產股囊括。

台股獲利王台積電、EPS王大立光則望塵莫及，分別以197萬元、130萬元，各居第23名及121名。

據統計，除了上述上緯投控、三商、華固、永豐餘之外，鴻準、精成科都超過300萬元，勤益控、聯發科、旭隼、瑞昱、遠雄港、聯詠、鴻海、群光、和泰車等都在250萬元以上，這些公司排名上市公司平員工薪資費用居前15高。

此外，南僑、愛山林、長華、日月光投控、祥碩、創意、永信等七家公司，108年平均員工薪資費用都在200萬元以上。上述22家年薪200萬元的公司，電子占12家、傳產10家，無一家為金融業入列， 金控公司平均員工薪水第一名是中信金的173萬元，排第38名。

台股獲利王台積電，108年稅後大賺3,453億元，若含福利費用的員工薪資費用共友付961.83億元，若不含福利費用也有869.1億元，但平均每位員工薪資費用僅有197萬元，而績效王大立光，108年EPS高達210.7元，但平均每位員工薪資費用更僅有130萬元，相對上述平均年薪200～500萬級的幸福員工公司，雙王相形見絀。

不過也有公司雖然108年虧損，但員工幸福指數卻「破表」，半導體IC設計股揚智，108年EPS負1.68元，但卻以182.7萬元，拿下排名第30名的平均薪資費用；達能排第36名，108年每股虧損1.75元，但平均員工薪資也衝上175萬元；愛普108年每股大虧損5.33元，但也以168萬元擠進第42名高薪。

至於員工「薪」情不太好的上市公司，108年平均年薪前十低只有30～40萬元附近，分別為三洋電、全國、好樂迪、大飲、燦坤、興泰、全球傳動、夏都、利奇及天仁，只有燦坤為電子通路，其餘全數為非金電公司。"
4,2020-05-26 04:10:00,"上市櫃年度現金股利大致出爐，受疫情打亂企業成長腳步之下，整體配發金額1.36兆元，法人認為，台股雖然跟進國際市場氛圍，現金股利同步縮水，但高殖利率優勢吸金力道可望更為集中，成為長線資金布局目標。

外資25日賣超趨緩達45.69億元，台股趁勢反彈，台新投顧副總黃文清認為，全球央行實施資金寬鬆熱潮，長線資金將趁著台股壓回伺機布局兼具營運暢旺及高現金殖利率的個股。

綜觀上市櫃現金股利配發狀況，雖有台積電、鴻海、國泰金等大型權值股配發水準皆優於前一年度，不過，台塑四寶股利大減，多數企業因疫情肆虐，經濟前景不明，因而下修股利配發，2019年度現金股利總金額降至1.36兆元，不及前兩年度的1.44、1.42兆元，終結股利連七年成長紀錄。

黃文清認為，布局台股資金有分短線、中長線及長線資金，其中管理退休基金的資金偏愛穩健型的個股布局，每年隨著民眾提撥新一批的退休資金提撥入帳後，營運穩健的高現金殖利率個股就是布局的標的。

篩選台股上市櫃公司中現金殖利率優於3％以上、外資上周買超及股價技術面強勢的個股有總太、海悅、達麗、敦陽科、達新、漢唐、順達、凡甲、聯強、全台、禾伸堂、聯陽、卜蜂、英業達、廣達等個股。

順達是全球筆電第二大電池模組廠，去年EPS為5.61元，優於前一年的4.35元，董事會決議今年每股將配發5元現金股息，以25日股價計算，現金殖利率高達6.06％。隨著4月合併營收回升，順達前四月合併營收48.44億元，年減幅收斂至4.68％。

永豐投顧總經理李學詩認為，在美股帶領下全球股市欣欣向榮，台股更是衝破11,000點的關卡，有更上一層樓的機會，無奈遇上外在因素衝擊，不過櫃買指數越過所有短中長期均線，內資力挺下台股出現系統性風險不高，有題材性的個股還是能突圍。

康和證券投資總監廖繼弘表示，本波反彈以來，共三次收復年線但未能有效站穩，僅收復一個交易日隔天隨即回檔，顯見年線壓力沉重。目前台股周KD仍處於黃金交叉，12周RSI在25日又再度回升至50以上，多頭力道伺機穩住盤勢。"
5,2020-05-14 11:42:26,"川普政府擔憂美國過度依賴亞洲半導體供應鏈，點名台積電、英特爾等大廠赴美設廠。但知名半導體分析師陸行之提出美國沒有中下游群聚效益、工作效率差異和衝擊台灣半導體等3大理由，反對台積電前往美國投資設廠，最多只能做個樣板廠，更警告台積電不要上當。



陸行之在臉書貼文表示，首先，美國沒有半導體下游封裝、測試及組裝產業鏈等，難道晶圓處理好還要再花費龐大運費送往各國組裝嗎？例如鴻海威斯康辛州的投資到現在還沒個影。他強調，美國最厲害的就是設計研發，不要妄想能成為科技產品製造王國。



其次，美國人工粗手粗腳的也缺乏晶圓代工製造所需要的效率，很難每天 24 小時輪班工作及研發。陸行之表示，早在10年前就曾估算過英特爾的美國廠的晶圓製造成本是台積電的兩倍以上 ，主要關鍵在於良率、產能利用率、半導體上中下游群聚效益及工作效率差異。看台積電的 Wafertech 也一直沒擴廠就知道了。就連英特爾都要去海外設廠來降低成本，格芯（Globalfoundries）Fishkill紐約廠經營不下去的原因。



最後，台積電若真的去美國生產核心技術半導體，除了對台灣半導體未來發展前景有疑慮外，一旦發生重大事件時，美國政府只要顧到台積電美國廠就好了。陸行之認為，把美國客戶當人質還是要的，但台積電千萬不要上當。



他說，台積電去美國弄個研發及銷售團隊，唬弄一下美國政府勉強可以，但千萬別赴美設廠。未來還有很多問題值得討論，台積電真的能在台灣無限擴產嗎？國內的土地資源夠嗎？哪個新興國家又是最佳擴產地？
(中時電子報)"
6,2020-06-06 23:56:00,"華為受川普政府新禁令制裁，可能面臨被台積電斷貨危機，但對台積電來說，若失去第二大客戶華為，今年營運表現恐有不確定性，外界關注台積電是否會下調今年、甚至明年的資本支出，目前市場看法分歧，預料台積電7月法說可能會做出回應。



今年4月疫情延燒，市場充滿變數，不過當時台積電強調，2020年資本支出維持不變，約在150億~160億美元，改寫歷年新高水準。



然而5月15日台積電宣布赴美蓋5奈米晶圓廠後，美國也宣布升級華為出口新禁令，亦即無論是美國或外國的企業，若沒有拿到美方的特許，就不能用美國的軟體或技術製造晶片出貨給華為，市場預期台積電將首當其衝。。



Digitimes報導，目前華為是台積電第二大客戶，去年貢獻其14%營收，雙方從7奈米就展開合作，至今年5奈米、甚至更先進3奈米製程的產能和規畫早已談妥，若失去華為的訂單，台積電先進製程推進和擴產計畫都將受到影響。



部分研調機構援引設備供應鏈的消息指出，傳台積電已經延後採購3奈米、5奈米及7奈米製程設備訂單，並預期台積電可能會下修15億~25億美元資本支出，並將2021年的資本支出進一步削減至125億美元；但有部分設備製造商認為，面對南韓三星和大陸中芯加碼先進製程投資，台積電若放緩擴產力道，可能會被三星超前，不可不慎。



台積電究竟會不會下調資本支出，目前市場有兩派看法，預料台積電7月中旬法說會給出答案。

(中時電子報)"
7,2020-05-28 15:23:08,"美股由黑翻紅，四大指數齊收漲，亞股也跟上走揚，台股周三開漲25.96點至11040.62點，三王領軍、電子股攻堅，觀光股續飆高，大盤中場最高達11087.53點再創波段新高，惟收復半年線未果，遭到香港國安法下午表決，中美紛爭恐加劇，以及摩台指結算，空軍大規模鎮壓，各類股均後繼無力，僅鋼鐵、造紙撐盤，大盤翻黑再度失守萬一、年線，最低點至10915.30點，上下震盪達172點，回測5日線，終場台股收跌70.47點或0.64%，報10944.19點，成交金額增至1711.72億元。今日外資(不含外資自營商)賣超72.5434億元，投信買超6.4764億元，自營商買超9.7026億元，三大法人賣超56.36億元。外資止步連2買超。



權值王台積電(2330)開高走高，一度漲至298.5元，上午11點過後翻黑，終場收跌0.84%至294元，失守10日線、月線。股王大立光(3008)亦開高震盪，一度最高達3935元，但3900元得而復失，翻黑收挫1.29%至3830元。鴻海(2317)忐忑中穩盤，收持平。其他權值股也隨大盤翻黑收衰，聯發科(2454)陷入漲多修正，收跌0.97%；面板雙虎友達(2409)、群創(3481)分別跌0.26%、1.12%；僅南亞科(2408)、研華(2395)、日月光投控(3711)、聯電(2303)、台新金(2887)、中租-KY(5871)、華碩(2357)、永豐金(2890)、中鋼(2002)等呈現小漲格局；高價股矽力-KY(6415)再創新高，祥碩(5269)走揚逾2%，信驊驚險收紅；電子、金融權值股僅演半場好戲，電子股、金融股、半導體類股亦走跌0.47%、0.88%、0.61%。而鋼鐵股受惠下半年傳統旺季，需求回復可期，周四人氣熱絡，官田鋼(2017)、豐達科(3004)衝上漲停，世紀鋼(9958)、新光鋼(2031)、中鴻(2014)逆勢堅挺走強漲逾4%，成為上市漲幅第一名。周四受香港國安法風波、摩台壓低結算，盤中翻黑，類股僅鋼鐵股、造紙、通信網路收紅，分別收漲0.81%、0.66%、0.32%；而生醫、油電燃氣、航運、橡膠、紡織、光電、塑膠、汽車均跌幅1%以上。本周熱門的觀光股，周四部分個股也難敵沉重賣壓，夏都(2722)連拉4根漲停，雲品(2748)攜手台泥首次跨入委託經營版圖，樂收漲逾3%，遠雄來(2712)打開漲停，其他個股如新天地(8940)、六福(2705)、國賓(2704)、雄獅(2731)等則皆漲多翻黑臉，類指一度登上96.29點之波段高點後終止連4漲，收跌0.88%。華紙(1905)獲法人點名是低基期補漲首選，喊買上看10元；與獲外資買超力挺的榮成(1909)、寶隆(1906)聯手開趴，助造紙股收喜糖。而生醫股則表現多空分歧，防疫股的國光生(4142)連續第二天打落跌停，康那香(9919)、亞諾法(4133)重摔，岱宇(1598)、寶齡富錦(1760)、喬山(1736)、中化(1701)等均表演不佳，生華科則強鎖漲停。

外資止步連2買超，轉賣超72.54億元，本月已賣超1406.72億元，今年來賣超6516.73億元。5日線岌岌可危，雖然美股表現強勢，但亞股不再亦步亦趨，籌碼面及法人動態為短線觀察焦點。周五則有MSCI季度調整盤後生效，觀察外資後續動作，須留意尾盤波動擴大。分析師表示，台股趨勢仍是震盪向上，不過由於處於相對高檔位置，逢高獲利了結及解套賣壓蠢動，只要市場有風吹草動即可能引發大幅波動；但在成交量偏低下，市場短線方向尚未明確，待29日MSCI尾盤調整台股權重後，外資動向可望漸趨明朗。法人也指出，近期上市櫃公司股東會，個股有機會釋出對下半年景氣展望訊息，對於股價有一定導引作用，由於反彈以來內資對於盤勢掌握度較高，投信在個股的進出，也可供參考。




(時報資訊)"
8,2020-05-17 15:00:00,"一隻病毒，打亂了所有的節奏。可是，能將危機化為轉機的企業，會在最低谷時，大膽出手搶人；戰役過後，擁有最多「人才子彈」者，將是新一波的造局者。而你是那個也準備好的實戰人才嗎？



職場趨勢》AI鬧人才荒，外商「危機入市」搶招在學生　臉書高薪獵才 8年級生身價翻倍漲



王毓仁，1991年次，現為交通大學光電工程所博士生，去年到臉書美國總部實習4個月，是台灣在光學領域第1位到臉書實習的學生。「跟我同一批進來實習的同學，都是美國光電科技領域前3大相關科系的學生。」他說。



回憶起臉書實習的經歷，王毓仁仍歷歷在目，並記住每一個被震撼教育的時刻。他說，面試臉書實習生的難度並不亞於正職員工，全程採英文面試，共分2天，通過兩關各1個小時的考驗。



第1天，他站在來自不同部門的面試官面前，先被詢問光電名詞的解釋。這一關聽起來好像很基本，但背後考驗的是：面試者是否有扎實的基本學識，不能死背而是要能活用。面試官的問題有如堆積木一般，層層相扣，「透過系統性的追問，我能從拆解問題與講解中，讓面試官了解我解決問題的能力，以及融會貫通的能耐。」王毓仁回憶道。



在實習報到的第1天，部門主管派任的第一項工作內容，就是一個專案。專案進度會議除了注重成果展示外，王毓仁印象最深刻的是，部門主管只問他：「我們能如何幫你將結果做到最好？」並提供他有經驗者的聯繫管道，「很open（開放）的工作模式，跟誰合作都可以。」



科技人才供需不均　未曾喝過洋墨水 也能前進外商鍍金



「震撼教育」當然還包括認識自己的不足。有次他遇到一個問題：如果要算一道光多亮？如何分布、發散？該怎麼計算？「在校學習時，有些算法與coding（編碼）不夠精通，要花上2倍以上時間。」處在高手如雲的辦公室，面對各國高手對自己說：「那我幫你算！」一份好意，讓王毓仁迫切希望自己能更精進。



這段長達4個月的豐富實習生涯，不僅讓他拿到台幣60萬元（扣稅後）的優渥薪資，更重要的是累積了未來的身價資產。即使全球因疫情彌漫失業氛圍，但王毓仁一點也不害怕。他不僅已直接獲得臉書繼續合作的機會，且在指導教授林怡欣實驗室的產學交流下，也迎來Google（谷歌）、中強光電、鴻海集團子公司業成的青睞。這些工作都還是他未曾主動投遞履歷就有的好機會，如果再投履歷，機會一定又更多。



其實，在臉書實習機會之前，他就曾為了找尋替代役工作而「小試身手」，一下子就獲得連同台積電在內的3個工作機會。




更多內容，請參閱最新一期《今周刊》(第1221期)

(中時電子報)"
9,2020-06-02 08:12:48,"小編精選5件不可不知財經大事，帶讀者掌握今天（2日）財經重點。

【1】中國反制 暫停美農產品進口

在美國總統川普針對大陸制訂「港版國安法」將採取多項制裁後，中方反制行動也展開。消息人士指出，大陸已下令暫停進口大豆等部分美國農產品，使得中美第一階段貿易協議落實執行已岌岌可危，美股期指受累翻黑下挫，人民幣兌美元在岸與離岸價一度急跌逾200個基點。
【2】美半導體業遊說 1.11兆元 組國家隊

針對大陸等其他國家半導體產業近年來高速發展來勢洶洶，美國半導體產業正積極遊說政府砸數百億美元扶植本土半導體產業，其中50億美元鎖定資助英特爾興建一座晶片廠，以維持美國在半導體市場的優勢。
【3】外資回補 台股挑戰12,197

美國對大陸制裁未擴大、疫情趨緩、經濟解封及熱錢回流等利多，1日台股、匯市同步勁揚，外資大買145億元推升台積電重回月線、大立光再現4千元榮景，指數亦重返萬一點關卡，大漲136.86點以11,079點作收。法人表示，賣過頭的外資，6月啟動回補潮，台股將挑戰今年高點12,197點。
【4】華為突圍 傳借道聯發科下單台積

面對美國擴大對華為在半導體的封堵，華為頻頻出招，希望繞道採購突破美國禁令。日媒報導，華為已計畫與台灣IC巨頭的聯發科合作，透過聯發科向台積電下單。
【5】四大供應鏈 秀5G硬實力

元大投信資深副總張美媛指出，5G布建力道將由關鍵零組件率先顯現，「元大全球未來關鍵科技ETF」追蹤的「iSTOXX全球未來關鍵科技指數」，是結合晶圓代工、手機零組件、IC設計及通訊元件四大供應鏈為成分股，掌握高階科技技術，展現5G硬實力特色。

(中時電子報)"
